workerid,button_rt,group_size,thickness,round,correct,correct_tangram,gameId,selected,text,trial_index,rt_sec,condition,trial_order
914,16486,6_player,thin,round_1,1,L,GfdodQMJHhNodveqQ,L,"[{'role': 'speaker', 'text': 'select the figure which is pointing to the right and looks like it is halfway to kneeling down', 'playerId': 'mJoMeCNLNBvXsdrNr'}]",59,16.486,6_thin,29
914,2764,6_player,thick,round_1,1,I,xxh6EZ5ESMvTDboLx,I,"[{'role': 'speaker', 'text': 'looks like a figure skater foot behind to the right', 'playerId': 'ETWC7GktmiQ8Fmtef'}]",61,2.764,6_thick,30
914,5858,2_player,thick,round_1,0,G,TswNa6hfiGwkWHMgB,B,"[{'role': 'speaker', 'text': 'Dancing girl with long train on the back of dress', 'playerId': 'BCjiqev2Kt7Lze3nQ'}]",63,5.858,2_thick,31
914,7963,2_player,thick,round_6,1,D,XDoay5WJnvL23rCdz,D,"[{'role': 'speaker', 'text': 'standing woman in a kimono facing our left and droopy sleeves', 'playerId': '8HW5HPk6BcWhLNEud'}]",65,7.963,2_thick,32
914,2694,2_player,thin,round_1,1,E,6ZtMrReWRYFFydpHK,E,"[{'role': 'speaker', 'text': 'Looks a little like a rabbit sitting on the floor facing toward the right hand side Two triangles on a diamond atop another triangle', 'playerId': 'D3HFDGENYCiG9LDJf'}]",67,2.694,2_thin,33
914,3484,6_player,thin,round_6,1,I,PppCQXs7SSfgS4Ygj,I,"[{'role': 'speaker', 'text': 'two arms pointing left, one leg kicked out to the right, standing on one leg', 'playerId': 'fBDb4v9G46e3McF8B'}]",69,3.484,6_thin,34
914,4149,6_player,thick,round_6,0,D,5wn4MiopXyfXuTxG9,H,"[{'role': 'speaker', 'text': 'This figure is completely upright with the squarish limb to the front', 'playerId': 'HJoHFMvp6qPSD2pXk'}]",71,4.149,6_thick,35
914,14763,6_player,thin,round_6,0,J,PDtkH4fTndXzR4oNt,D,"[{'role': 'speaker', 'text': 'long straight bit on the right, candle bit on the left', 'playerId': 'aYEneuu2qPkdL2PeC'}, {'role': 'speaker', 'text': 'diamond on the top', 'playerId': 'aYEneuu2qPkdL2PeC'}, {'role': 'speaker', 'text': 'looks like a candle', 'playerId': 'aYEneuu2qPkdL2PeC'}, {'role': 'speaker', 'text': 'long straight on the left hand side', 'playerId': 'aYEneuu2qPkdL2PeC'}]",73,14.763,6_thin,36
914,3479,6_player,thick,round_6,1,F,d3pirdbXLaHdgxR9t,F,"[{'role': 'speaker', 'text': 'sitting on your bum', 'playerId': 'YvaYGp3i8g88dxJR7'}]",75,3.479,6_thick,37
914,6036,6_player,thin,round_1,0,K,dG226KpEbdnXwkPGx,L,"[{'role': 'speaker', 'text': 'Looks like the image is bowing down', 'playerId': 'MRy5sG4H9RcBMfW2b'}, {'role': 'speaker', 'text': 'Holding a bowl', 'playerId': 'MRy5sG4H9RcBMfW2b'}]",77,6.036,6_thin,38
